timestamp,tt,rh,pp,ws,wd,sr,rr
2025-10-13T05:42:02.508208,23.49,69.1,996.765,0.941,312.2,0.0,0.0
2025-10-13T05:42:03.509657,23.31,69.8,996.7,0.846,298.0,0.0,0.0
2025-10-13T05:42:04.511423,23.16,70.4,996.7,1.158,317.9,0.0,0.0
2025-10-13T05:42:05.512293,23.03,71.3,996.7,0.998,318.1,0.0,0.0
2025-10-13T05:42:06.512946,22.97,71.7,996.7,0.976,304.8,0.0,0.0
2025-10-13T05:42:07.513829,22.73,72.9,996.7,0.588,286.4,0.0,0.0
2025-10-13T05:42:08.515840,22.62,73.4,996.725,1.007,311.9,0.0,0.0
2025-10-13T05:42:09.515796,22.7,72.8,996.735,1.176,296.8,0.0,0.0
2025-10-13T05:42:10.516872,22.67,73.1,996.63,0.866,292.0,0.0,0.0
2025-10-13T05:42:11.517917,22.54,73.8,996.5199,0.458,200.0,0.0,0.0
2025-10-13T05:42:12.518802,22.47,73.9,996.45,0.926,289.5,0.0,0.0
2025-10-13T05:42:13.520228,22.38,74.6,996.3299,0.942,289.8,0.0,0.0
2025-10-13T05:42:14.520753,22.34,75.0,996.2999,0.88,311.7,0.0,0.0
2025-10-13T05:42:15.522922,22.18,75.7,996.2999,0.744,303.4,0.0,0.0
2025-10-13T05:42:16.523825,22.27,75.5,996.1649,0.925,296.3,0.0,0.0
2025-10-13T05:42:17.525385,22.17,75.6,996.0999,1.046,314.9,0.0,0.0
2025-10-13T05:42:18.526779,22.15,75.2,996.015,1.045,300.6,0.0,0.0
2025-10-13T05:42:19.527651,22.13,75.5,996.0,0.802,301.5,0.0,0.0
2025-10-13T05:42:20.528789,22.02,76.1,995.955,0.632,285.2,0.0,0.0
2025-10-13T05:42:21.529834,21.97,76.3,995.9,1.024,309.0,0.0,0.0
2025-10-13T05:42:22.530899,21.96,76.3,995.8249,0.693,316.4,0.0,0.0
2025-10-13T05:42:23.531904,21.91,76.2,995.7999,0.799,277.0,0.0,0.0
