threshold,accuracy,precision,recall,f1_score,specificity,detection_rate,false_positive_rate,tp,tn,fp,fn,n_predictions,n_true_anomalies
0.6,0.9146372724942322,0.465,0.9587628865979382,0.6262626262626263,0.9110803324099723,0.9587628865979382,0.0889196675900277,279,3289,321,12,600,291
0.7,0.9397590361445783,0.5249457700650759,0.937984496124031,0.6731571627260083,0.9398847104035136,0.937984496124031,0.06011528959648641,242,3424,219,16,461,258
0.8,0.9530889515508844,0.5706806282722513,0.919831223628692,0.7043618739903069,0.9552401746724891,0.919831223628692,0.04475982532751092,218,3500,164,19,382,237
0.9,0.963086388105614,0.6238532110091743,0.9066666666666666,0.7391304347826086,0.9665397170837867,0.9066666666666666,0.03346028291621327,204,3553,123,21,327,225
1.0,0.9656498333760575,0.6421404682274248,0.8767123287671232,0.7413127413127413,0.9709397066811516,0.8767123287671232,0.029060293318848452,192,3575,107,27,299,219
