date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 12:00:00+00,28.03,86.5,994.0532,1.051,251.6,0.0,0.0
2024-01-01 12:10:00+00,27.86,87.9,994.1847,0.706,289.4,0.0,0.0
2024-01-01 12:20:00+00,27.75,88.8,993.9989,0.366,212.2,0.0,0.0
2024-01-01 12:30:00+00,27.67,89.6,994.3655,0.972,293.0,0.0,0.0
2024-01-01 12:40:00+00,27.52,90.5,994.3486,0.826,271.8,0.0,0.0
2024-01-01 12:50:00+00,27.49,90.6,994.2843,0.483,231.8,0.0,0.0
2024-01-01 13:00:00+00,27.46,90.9,994.6982,0.571,224.1,0.0,0.0
2024-01-01 13:10:00+00,27.4,91.3,995.4064,0.58,249.0,0.0,0.0
2024-01-01 13:20:00+00,27.41,91.0,995.3328,0.485,243.1,0.0,0.0
2024-01-01 13:30:00+00,27.35,91.2,995.0021,0.405,176.4,0.0,0.0
2024-01-01 13:40:00+00,27.3,91.6,994.9375,0.448,141.9,0.0,0.0
2024-01-01 13:50:00+00,27.23,91.6,995.3065,0.603,313.5,0.0,0.0
2024-01-01 14:00:00+00,27.25,91.2,995.805,0.231,232.6,0.0,0.0
2024-01-01 14:10:00+00,27.28,91.7,996.2469,0.028,210.7,0.0,0.0
2024-01-01 14:20:00+00,27.24,92.1,995.8666,0.257,310.8,0.0,0.0
2024-01-01 14:30:00+00,27.21,92.4,995.6754,0.32,315.6,0.0,0.0
2024-01-01 14:40:00+00,27.22,92.4,995.678,0.242,324.9,0.0,0.0
2024-01-01 14:50:00+00,27.23,92.2,996.0118,0.385,83.4,0.0,0.0
2024-01-01 15:00:00+00,27.27,91.9,995.973,0.046,112.8,0.0,0.0
2024-01-01 15:10:00+00,27.27,92.8,995.7914,0.177,236.5,0.0,0.0
2024-01-01 15:20:00+00,27.14,93.9,995.7706,0.067,245.9,0.0,0.0
2024-01-01 15:30:00+00,27.0,95.1,995.6911,0.0,53.48,0.0,0.2
2024-01-01 15:40:00+00,26.81,96.1,995.5848,0.0,115.1,0.0,0.0
2024-01-01 15:50:00+00,26.67,96.1,995.4382,0.0,147.1,0.0,0.0
2024-01-01 16:00:00+00,26.7,96.2,995.264,0.0,122.2,0.0,0.0
2024-01-01 16:10:00+00,26.61,96.5,995.1038,0.0,136.7,0.0,0.0
2024-01-01 16:20:00+00,26.57,97.2,995.0791,0.0,44.92,0.0,0.0
2024-01-01 16:30:00+00,26.64,97.3,994.9447,0.153,239.8,0.0,0.0
2024-01-01 16:40:00+00,26.76,96.2,994.7982,0.316,293.3,0.0,0.0
2024-01-01 16:50:00+00,26.83,95.9,994.6927,0.48,275.8,0.0,0.0
2024-01-01 17:00:00+00,26.82,95.8,994.7085,0.715,299.8,0.0,0.0
2024-01-01 17:10:00+00,26.82,95.7,994.6082,0.473,285.3,0.0,0.0
2024-01-01 17:20:00+00,26.78,95.9,994.5565,0.459,293.8,0.0,0.0
2024-01-01 17:30:00+00,26.77,95.8,994.6437,0.612,294.9,0.0,0.0
2024-01-01 17:40:00+00,26.81,95.3,994.5674,0.713,312.5,0.0,0.0
2024-01-01 17:50:00+00,26.81,95.3,994.4793,0.365,219.5,0.0,0.0
2024-01-01 18:00:00+00,26.83,95.1,994.5154,0.045,241.4,0.0,0.0
2024-01-01 18:10:00+00,26.81,95.7,994.3976,0.592,318.2,0.0,0.0
2024-01-01 18:20:00+00,26.75,95.5,994.3156,0.505,311.1,0.0,0.0
2024-01-01 18:30:00+00,26.74,95.4,994.1196,0.516,280.3,0.0,0.0
2024-01-01 18:40:00+00,26.68,95.6,993.9802,0.29,312.0,0.0,0.0
2024-01-01 18:50:00+00,26.67,96.2,993.9389,0.0,100.9,0.0,0.0
2024-01-01 19:00:00+00,26.51,95.8,993.8778,0.14,78.02,0.0,0.0
2024-01-01 19:10:00+00,26.42,95.3,993.6688,0.54,73.79,0.0,0.0
2024-01-01 19:20:00+00,26.08,94.3,993.667,0.412,121.8,0.0,0.0
2024-01-01 19:30:00+00,25.73,94.5,993.6644,0.372,105.2,0.0,0.0
2024-01-01 19:40:00+00,25.53,94.6,993.6293,0.653,103.3,0.0,0.0
2024-01-01 19:50:00+00,25.3,94.8,993.5216,1.071,110.4,0.0,0.0
2024-01-01 20:00:00+00,25.28,95.1,993.4947,0.732,136.2,0.0,0.0
2024-01-01 20:10:00+00,25.32,95.6,993.5071,0.246,132.2,0.0,0.0
2024-01-01 20:20:00+00,25.23,95.8,993.4734,0.156,129.2,0.0,0.0
2024-01-01 20:30:00+00,25.2,95.9,993.5148,0.209,154.8,0.0,0.0
2024-01-01 20:40:00+00,25.23,96.0,993.6899,0.099,109.4,0.0,0.0
2024-01-01 20:50:00+00,25.17,96.1,993.847,0.141,134.4,0.0,0.0
2024-01-01 21:00:00+00,25.21,96.2,994.0143,0.723,59.88,0.0,0.0
2024-01-01 21:10:00+00,25.26,95.7,994.0705,0.564,116.2,0.0,0.0
2024-01-01 21:20:00+00,25.27,95.8,994.0846,0.437,55.14,0.0,0.0
2024-01-01 21:30:00+00,25.27,95.9,994.0469,0.381,59.02,0.0,0.0
2024-01-01 21:40:00+00,25.22,96.3,993.9847,0.138,53.12,0.0,0.0
2024-01-01 21:50:00+00,25.2,96.4,993.8717,0.054,194.0,0.0,0.0
2024-01-01 22:00:00+00,25.15,96.7,993.8744,0.222,161.1,0.0,0.0
2024-01-01 22:10:00+00,25.08,97.2,993.939,0.465,162.3,0.0,0.0
2024-01-01 22:20:00+00,25.0,97.3,994.0547,0.015,106.8,0.0,0.0
2024-01-01 22:30:00+00,24.97,97.6,994.0975,0.0,118.2,0.905,0.0
2024-01-01 22:40:00+00,24.89,97.6,994.3286,0.019,79.72,7.576,0.0
2024-01-01 22:50:00+00,24.98,97.6,994.4438,0.16,117.6,14.58,0.0
2024-01-01 23:00:00+00,25.02,97.5,994.7142,0.332,172.7,24.52,0.0
2024-01-01 23:10:00+00,25.12,97.5,994.925,0.157,48.48,48.3,0.0
2024-01-01 23:20:00+00,25.38,97.2,995.0606,0.039,76.09,78.49,0.0
2024-01-01 23:30:00+00,25.86,95.5,995.1574,0.12,152.0,109.4,0.0
2024-01-01 23:40:00+00,26.32,93.3,995.1688,0.0,117.3,140.9,0.0
2024-01-01 23:50:00+00,26.9,90.3,995.2122,0.582,282.0,127.5,0.0
2024-01-02 00:00:00+00,27.09,89.0,995.2155,0.226,307.5,129.0,0.0
2024-01-02 00:10:00+00,27.37,87.7,995.458,0.425,211.4,193.8,0.0
2024-01-02 00:20:00+00,27.87,85.9,995.6372,0.527,208.3,224.5,0.0
2024-01-02 00:30:00+00,28.08,84.9,995.814,0.395,192.9,130.7,0.0
2024-01-02 00:40:00+00,27.81,86.7,995.9226,0.305,172.5,179.3,0.0
2024-01-02 00:50:00+00,28.35,85.0,995.9673,0.735,177.5,374.7,0.0
2024-01-02 01:00:00+00,28.58,83.0,995.9671,0.525,190.0,228.3,0.0
