threshold,accuracy,precision,recall,f1_score,specificity,detection_rate,false_positive_rate,tp,tn,fp,fn,n_predictions,n_true_anomalies
0.5,0.9438605485772879,0.5803212851405622,0.9665551839464883,0.7252195734002509,0.941976679622432,0.9665551839464883,0.058023320377568015,289,3393,209,10,498,299
0.7,0.9671879005383235,0.6742857142857143,0.944,0.7866666666666666,0.9687756778964667,0.944,0.031224322103533278,236,3537,114,14,350,250
0.8,0.9746218918226096,0.7269736842105263,0.9324894514767933,0.8170055452865065,0.9773471615720524,0.9324894514767933,0.0226528384279476,221,3581,83,16,304,237
0.9,0.9812868495257626,0.7894736842105263,0.9251101321585903,0.8519269776876268,0.9847577572128471,0.9251101321585903,0.015242242787152967,210,3618,56,17,266,227
