date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 12:10:00+00,25.0,89.5,949.885,0.59,62.65,0.0,0.0
2024-01-01 12:20:00+00,25.09,89.4,950.1449,0.54,142.6,0.0,0.0
2024-01-01 12:30:00+00,24.94,90.6,949.855,0.129,249.5,0.0,0.0
2024-01-01 12:40:00+00,24.87,91.3,949.5999,0.076,268.1,0.0,0.0
2024-01-01 12:50:00+00,24.83,91.5,949.6199,0.4,279.4,0.0,0.0
2024-01-01 13:00:00+00,24.6,92.2,949.7699,0.249,279.1,0.0,0.0
2024-01-01 13:10:00+00,24.61,92.8,949.865,0.363,293.6,0.0,0.0
2024-01-01 13:20:00+00,24.58,93.5,950.0749,0.18,227.2,0.0,0.0
2024-01-01 13:30:00+00,24.58,93.4,950.2599,0.317,117.3,0.0,0.0
2024-01-01 13:40:00+00,24.58,93.7,950.465,0.378,157.8,0.0,0.0
2024-01-01 13:50:00+00,24.49,93.9,950.565,0.311,217.9,0.0,0.0
2024-01-01 14:00:00+00,24.41,94.4,950.5,0.499,157.1,0.0,0.0
2024-01-01 14:10:00+00,24.42,94.9,950.5,0.119,219.1,0.0,0.0
2024-01-01 14:20:00+00,24.39,94.9,950.5,0.023,293.8,0.0,0.0
2024-01-01 14:30:00+00,24.38,94.9,950.545,0.147,273.1,0.0,0.0
2024-01-01 14:40:00+00,24.47,95.0,950.6899,0.39,221.6,0.0,0.0
2024-01-01 14:50:00+00,24.46,95.1,950.61,0.149,88.9,0.0,0.0
2024-01-01 15:00:00+00,24.52,95.2,950.515,0.709,64.9,0.0,0.0
2024-01-01 15:10:00+00,24.57,94.5,950.435,0.286,254.1,0.0,0.0
2024-01-01 15:20:00+00,24.61,94.4,950.295,0.194,238.9,0.0,0.0
2024-01-01 15:30:00+00,24.63,94.6,950.2,0.431,260.4,0.0,0.0
2024-01-01 15:40:00+00,24.62,94.5,950.085,0.069,231.6,0.0,0.0
2024-01-01 15:50:00+00,24.65,94.6,949.9399,0.043,309.0,0.0,0.0
2024-01-01 16:00:00+00,24.71,94.5,950.0249,0.0,292.4,0.0,0.0
2024-01-01 16:10:00+00,24.75,94.7,950.11,0.561,206.6,0.0,0.0
2024-01-01 16:20:00+00,24.78,94.9,950.1699,0.5,151.4,0.0,0.0
2024-01-01 16:30:00+00,24.76,95.2,950.0599,0.71,196.3,0.0,0.0
2024-01-01 16:40:00+00,24.65,95.6,950.085,0.437,246.9,0.0,0.0
2024-01-01 16:50:00+00,24.64,95.8,949.8949,0.295,253.2,0.0,0.0
2024-01-01 17:00:00+00,24.56,95.9,949.7899,0.064,231.4,0.0,0.0
2024-01-01 17:10:00+00,24.55,95.9,949.7,0.023,235.9,0.0,0.0
2024-01-01 17:20:00+00,24.52,95.7,949.735,0.054,244.4,0.0,0.0
2024-01-01 17:30:00+00,24.45,95.5,949.6249,0.089,291.0,0.0,0.0
2024-01-01 17:40:00+00,24.44,95.5,949.4149,0.037,277.4,0.0,0.0
2024-01-01 17:50:00+00,24.43,94.9,949.2999,0.052,336.0,0.0,0.0
2024-01-01 18:00:00+00,24.43,94.6,949.385,0.509,176.1,0.0,0.0
2024-01-01 18:10:00+00,24.46,94.8,949.485,0.246,135.6,0.0,0.0
2024-01-01 18:20:00+00,24.43,94.8,949.3299,0.11,229.6,0.0,0.0
2024-01-01 18:30:00+00,24.34,95.0,949.28,0.383,202.3,0.0,0.0
2024-01-01 18:40:00+00,24.3,95.2,949.2,0.229,178.1,0.0,0.0
2024-01-01 18:50:00+00,24.27,95.7,949.0,0.527,204.7,0.0,0.0
2024-01-01 19:00:00+00,24.17,95.8,948.965,0.161,208.2,0.0,0.0
2024-01-01 19:10:00+00,24.09,96.0,948.91,0.269,256.6,0.0,0.0
2024-01-01 19:20:00+00,24.04,96.3,948.6199,0.042,285.0,0.0,0.0
2024-01-01 19:30:00+00,23.99,96.2,948.5749,0.221,305.5,0.0,0.0
2024-01-01 19:40:00+00,23.89,96.2,948.555,0.188,283.6,0.0,0.0
2024-01-01 19:50:00+00,23.85,96.2,948.355,0.226,264.1,0.0,0.0
2024-01-01 20:00:00+00,23.82,96.0,948.34,0.395,68.07,0.0,0.0
2024-01-01 20:10:00+00,23.74,95.6,948.2999,0.624,141.1,0.0,0.0
2024-01-01 20:20:00+00,23.72,95.3,948.2999,0.146,267.4,0.0,0.0
2024-01-01 20:30:00+00,23.71,95.0,948.3899,0.98,203.5,0.0,0.0
2024-01-01 20:40:00+00,23.73,95.6,948.425,0.587,239.8,0.0,0.0
2024-01-01 20:50:00+00,23.7,95.8,948.5,0.111,257.3,0.0,0.0
2024-01-01 21:00:00+00,23.69,95.6,948.5,0.545,150.2,0.0,0.0
2024-01-01 21:10:00+00,23.68,94.7,948.5,0.439,275.5,0.0,0.0
2024-01-01 21:20:00+00,23.71,94.3,948.5,0.186,276.2,0.0,0.0
2024-01-01 21:30:00+00,23.69,94.7,948.405,0.181,288.9,0.0,0.0
2024-01-01 21:40:00+00,23.65,94.4,948.41,0.578,81.5,0.0,0.0
2024-01-01 21:50:00+00,23.66,93.8,948.5,0.319,151.0,0.0,0.0
2024-01-01 22:00:00+00,23.65,93.6,948.5,0.121,242.3,0.0,0.0
2024-01-01 22:10:00+00,23.58,93.2,948.5399,0.189,215.2,0.0,0.0
2024-01-01 22:20:00+00,23.54,93.4,948.615,0.144,261.1,0.0,0.0
2024-01-01 22:30:00+00,23.54,93.5,948.75,0.645,223.0,0.0,0.0
2024-01-01 22:40:00+00,23.55,93.6,949.0199,1.19,181.4,0.041,0.0
2024-01-01 22:50:00+00,23.52,93.8,949.255,1.049,204.7,2.291,0.0
2024-01-01 23:00:00+00,23.58,94.1,949.2999,0.23,314.9,7.395,0.0
2024-01-01 23:10:00+00,23.6,94.0,949.2999,0.13,236.0,15.99,0.0
2024-01-01 23:20:00+00,23.68,93.8,949.225,0.319,292.4,25.69,0.0
2024-01-01 23:30:00+00,23.8,93.1,949.205,0.133,314.3,31.38,0.0
2024-01-01 23:40:00+00,23.96,92.7,949.3949,0.577,243.2,35.69,0.0
2024-01-01 23:50:00+00,24.08,91.5,949.5999,0.228,281.6,40.41,0.0
2024-01-02 00:00:00+00,,,,,,,0.0
2024-01-02 00:10:00+00,24.39,90.3,949.805,0.158,114.0,46.17,0.0
2024-01-02 00:20:00+00,24.52,89.4,950.005,0.083,76.22,49.05,0.0
2024-01-02 00:30:00+00,24.76,88.7,950.1449,0.354,39.2,57.26,0.0
2024-01-02 00:40:00+00,24.98,87.6,950.285,0.481,117.1,64.58,0.0
2024-01-02 00:50:00+00,25.22,86.3,950.4399,0.496,118.8,70.1,0.0
2024-01-02 01:00:00+00,25.36,87.5,950.5249,0.564,145.3,74.7,0.0
2024-01-02 01:10:00+00,25.3,85.7,950.5,0.143,112.2,76.54,0.0
2024-01-02 01:20:00+00,25.32,86.1,950.4201,0.172,252.3,89.6,0.0
2024-01-02 01:30:00+00,25.49,85.7,950.36,0.871,240.6,118.5,0.0
2024-01-02 01:40:00+00,25.58,84.2,950.115,0.903,263.9,151.1,0.0
2024-01-02 01:50:00+00,25.69,84.6,949.8099,0.682,209.0,171.3,0.0
2024-01-02 02:00:00+00,26.16,82.0,949.755,0.455,238.3,179.4,0.0
2024-01-02 02:10:00+00,26.78,77.87,949.9,0.327,186.6,182.5,0.0
2024-01-02 02:20:00+00,27.07,75.18,949.9,0.383,126.5,181.0,0.0
2024-01-02 02:30:00+00,27.22,73.66,949.8099,0.294,251.1,173.2,0.0
2024-01-02 02:40:00+00,27.81,71.8,949.7699,0.159,139.3,192.5,0.0
2024-01-02 02:50:00+00,28.49,67.9,949.6249,0.323,179.6,242.3,0.0
2024-01-02 03:00:00+00,28.77,68.1,949.5399,0.586,175.5,283.5,0.2
2024-01-02 03:10:00+00,28.94,69.98,949.425,1.175,137.9,329.3,0.0
2024-01-02 03:20:00+00,28.96,71.36,949.365,1.311,127.2,406.3,0.0
2024-01-02 03:30:00+00,29.47,69.91,949.3099,1.144,128.5,494.0,0.0
2024-01-02 03:40:00+00,29.46,68.31,949.155,1.279,104.5,421.4,0.0
2024-01-02 03:50:00+00,29.34,67.58,949.0499,0.795,115.8,682.8,0.0
2024-01-02 04:00:00+00,30.63,63.24,948.965,0.672,138.4,781.4,0.0
2024-01-02 04:10:00+00,30.86,60.48,948.895,0.86,110.6,448.5,0.0
2024-01-02 04:20:00+00,30.43,62.43,948.75,1.36,125.2,411.0,0.0
2024-01-02 04:30:00+00,30.45,65.66,948.5999,1.129,118.8,386.9,0.0
2024-01-02 04:40:00+00,30.43,64.7,948.5,1.94,96.6,394.2,0.0
2024-01-02 04:50:00+00,30.63,63.89,948.5,2.095,83.9,430.3,0.0
2024-01-02 05:00:00+00,30.63,62.02,948.4399,2.426,84.0,606.7,0.0
2024-01-02 05:10:00+00,30.94,60.49,948.2399,2.618,83.5,431.9,0.0
2024-01-02 05:20:00+00,30.46,63.5,948.0999,2.184,82.4,331.9,0.0
2024-01-02 05:30:00+00,30.15,64.93,948.0199,2.388,86.5,297.8,0.0
2024-01-02 05:40:00+00,29.72,66.13,947.885,2.497,58.47,320.7,0.0
2024-01-02 05:50:00+00,30.0,65.1,947.715,2.24,49.37,428.5,0.0
2024-01-02 06:00:00+00,30.06,63.97,947.5099,1.326,84.0,367.0,0.0
2024-01-02 06:10:00+00,30.48,63.42,947.3199,1.105,114.0,343.5,0.0
2024-01-02 06:20:00+00,30.52,63.52,947.13,1.387,118.1,305.4,0.0
2024-01-02 06:30:00+00,30.69,63.8,946.95,1.724,48.79,373.5,0.0
2024-01-02 06:40:00+00,30.51,64.16,946.9,1.99,87.2,285.0,0.0
2024-01-02 06:50:00+00,30.1,65.88,946.88,2.179,44.62,277.1,0.0
2024-01-02 07:00:00+00,30.1,66.03,946.7999,1.644,83.3,253.5,0.0
2024-01-02 07:10:00+00,29.82,67.91,946.7899,1.776,62.37,214.5,0.0
2024-01-02 07:20:00+00,29.71,68.55,946.6649,1.698,59.05,217.5,0.0
2024-01-02 07:30:00+00,29.54,68.92,946.545,1.588,45.61,218.3,0.0
2024-01-02 07:40:00+00,29.84,66.97,946.4899,1.054,91.6,223.9,0.0
2024-01-02 07:50:00+00,30.0,65.7,946.375,1.469,79.51,245.7,0.0
2024-01-02 08:00:00+00,29.98,65.4,946.2999,0.908,76.01,236.4,0.0
2024-01-02 08:10:00+00,29.94,65.64,946.2,0.383,170.9,226.6,0.0
2024-01-02 08:20:00+00,30.23,69.33,946.1199,0.378,250.9,212.9,0.0
2024-01-02 08:30:00+00,29.8,72.19,946.005,0.53,274.4,170.8,0.0
2024-01-02 08:40:00+00,29.52,72.62,946.0999,0.33,273.9,150.5,0.0
2024-01-02 08:50:00+00,29.39,73.53,946.0199,0.786,220.9,150.4,0.0
2024-01-02 09:00:00+00,29.56,73.67,946.055,1.088,225.3,121.2,0.0
2024-01-02 09:10:00+00,29.4,74.69,946.28,0.724,217.9,105.1,0.0
2024-01-02 09:20:00+00,29.0,75.58,946.2,1.221,269.4,105.9,0.0
2024-01-02 09:30:00+00,28.35,77.78,946.2199,0.859,283.9,68.97,0.0
2024-01-02 09:40:00+00,28.0,78.83,946.3249,0.808,250.4,93.4,0.0
2024-01-02 09:50:00+00,27.89,79.21,946.5199,0.911,268.6,95.4,0.0
2024-01-02 10:00:00+00,27.61,80.7,946.5999,1.241,270.5,63.6,0.0
2024-01-02 10:10:00+00,27.56,81.1,946.6699,0.635,295.7,57.78,0.0
2024-01-02 10:20:00+00,27.45,82.2,946.5699,0.924,256.1,58.09,0.0
2024-01-02 10:30:00+00,27.3,82.9,946.7899,0.745,271.1,28.5,0.0
2024-01-02 10:40:00+00,27.17,83.3,946.8199,0.599,239.4,18.0,0.0
2024-01-02 10:50:00+00,27.17,83.3,947.2699,0.817,189.6,6.838,0.0
2024-01-02 11:00:00+00,26.96,85.2,947.215,1.344,230.8,3.42,0.0
2024-01-02 11:10:00+00,26.75,87.2,947.46,0.783,190.1,0.0,0.0
2024-01-02 11:20:00+00,26.5,89.3,947.5199,1.263,208.5,0.0,0.0
2024-01-02 11:30:00+00,26.31,90.6,947.8899,1.117,191.4,0.0,0.0
2024-01-02 11:40:00+00,25.88,92.1,947.965,1.249,188.8,0.0,0.0
2024-01-02 11:50:00+00,25.77,92.6,948.175,1.15,173.5,0.0,0.0
2024-01-02 12:00:00+00,25.71,92.6,948.4149,1.563,189.9,0.0,0.0
2024-01-02 12:10:00+00,25.66,93.4,948.5799,1.253,161.0,0.0,0.4
2024-01-02 12:20:00+00,25.49,94.7,948.5199,1.232,179.9,0.0,0.8
2024-01-02 12:30:00+00,25.25,95.2,948.7599,0.917,125.4,0.0,0.2
2024-01-02 12:40:00+00,25.05,95.7,949.135,1.159,117.3,0.0,0.0
