date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 12:00:00+00,25.78,92.0,962.8819,1.099,280.2,0.0,0.0
2024-01-01 12:10:00+00,25.6,92.9,962.7278,1.116,276.1,0.0,0.0
2024-01-01 12:20:00+00,25.49,93.8,963.1315,0.349,292.6,0.0,0.0
2024-01-01 12:30:00+00,25.47,94.0,963.0346,0.994,284.3,0.0,0.0
2024-01-01 12:40:00+00,25.41,94.3,962.8052,1.788,284.3,0.0,0.0
2024-01-01 12:50:00+00,25.37,94.9,962.9005,1.534,291.8,0.0,0.0
2024-01-01 13:00:00+00,25.37,95.2,963.7061,0.605,296.2,0.0,0.0
2024-01-01 13:10:00+00,25.41,95.1,963.995,1.185,259.7,0.0,0.0
2024-01-01 13:20:00+00,25.38,95.3,963.747,1.349,276.1,0.0,0.0
2024-01-01 13:30:00+00,25.32,96.0,963.556,0.862,264.5,0.0,0.0
2024-01-01 13:40:00+00,25.24,96.3,964.0301,0.944,294.0,0.0,0.0
2024-01-01 13:50:00+00,25.24,96.0,964.0558,1.049,283.0,0.0,0.0
2024-01-01 14:00:00+00,25.25,95.7,964.4867,0.497,274.5,0.0,0.0
2024-01-01 14:10:00+00,25.23,95.3,964.6867,0.308,240.4,0.0,0.0
2024-01-01 14:20:00+00,25.21,95.8,964.4597,0.42,248.0,0.0,0.0
2024-01-01 14:30:00+00,25.14,96.0,964.3457,0.404,228.6,0.0,0.0
2024-01-01 14:40:00+00,25.06,96.0,964.6167,0.328,176.4,0.0,0.0
2024-01-01 14:50:00+00,25.04,96.1,964.5729,0.051,169.1,0.0,0.0
2024-01-01 15:00:00+00,25.0,96.0,964.5966,0.0,88.5,0.0,0.0
2024-01-01 15:10:00+00,25.0,96.4,964.5019,0.0,91.6,0.0,0.0
2024-01-01 15:20:00+00,24.98,96.6,964.381,0.272,172.4,0.0,0.0
2024-01-01 15:30:00+00,24.96,96.5,964.4168,0.0,104.8,0.0,0.0
2024-01-01 15:40:00+00,24.91,97.0,964.2662,0.0,31.61,0.0,0.6
2024-01-01 15:50:00+00,24.82,97.4,964.0672,0.162,45.6,0.0,0.4
2024-01-01 16:00:00+00,24.76,97.6,963.9987,0.928,48.13,0.0,0.4
2024-01-01 16:10:00+00,24.62,97.2,963.8634,0.594,85.5,0.0,0.2
2024-01-01 16:20:00+00,24.56,97.0,963.8292,0.017,81.5,0.0,0.2
2024-01-01 16:30:00+00,24.5,97.0,963.4211,0.0,329.2,0.0,0.2
2024-01-01 16:40:00+00,24.46,97.0,963.2077,0.044,240.4,0.0,0.0
