date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 12:00:00+00,27.68,88.2,994.5921,1.418,236.4,0.0,0.0
2024-01-01 12:10:00+00,27.61,88.6,994.7056,1.559,244.7,0.0,0.0
2024-01-01 12:20:00+00,27.55,89.0,994.6658,1.313,231.1,0.0,0.0
2024-01-01 12:30:00+00,27.53,89.3,994.7928,1.441,235.6,0.0,0.0
2024-01-01 12:40:00+00,27.47,89.4,994.9636,1.55,258.3,0.0,0.0
2024-01-01 12:50:00+00,27.43,89.5,994.9691,1.148,238.5,0.0,0.0
2024-01-01 13:00:00+00,27.47,89.6,994.9856,1.32,221.9,0.0,0.0
2024-01-01 13:10:00+00,27.43,89.6,995.7981,0.922,206.1,0.0,0.0
2024-01-01 13:20:00+00,27.42,89.8,996.011,0.782,244.9,0.0,0.0
2024-01-01 13:30:00+00,27.29,90.5,995.6913,1.691,226.9,0.0,0.0
2024-01-01 13:40:00+00,27.19,91.1,995.4266,1.539,225.5,0.0,0.0
2024-01-01 13:50:00+00,27.19,91.3,995.6693,1.206,228.8,0.0,0.0
2024-01-01 14:00:00+00,27.11,91.8,996.0098,0.275,254.9,0.0,0.0
2024-01-01 14:10:00+00,27.07,92.1,996.5869,0.138,94.5,0.0,0.0
2024-01-01 14:20:00+00,26.95,92.6,996.4928,0.28,145.6,0.0,0.0
2024-01-01 14:30:00+00,27.0,92.6,996.2013,0.265,178.9,0.0,0.0
2024-01-01 14:40:00+00,27.07,92.4,996.0894,0.137,217.5,0.0,0.0
2024-01-01 14:50:00+00,27.1,92.3,996.2571,0.076,96.2,0.0,0.0
2024-01-01 15:00:00+00,27.09,92.5,996.5291,0.301,78.15,0.0,0.0
2024-01-01 15:10:00+00,27.05,92.5,996.3848,0.278,86.2,0.0,0.0
2024-01-01 15:20:00+00,27.11,92.1,996.2619,0.237,221.9,0.0,0.0
2024-01-01 15:30:00+00,27.14,91.8,996.1988,0.004,183.5,0.0,0.0
2024-01-01 15:40:00+00,27.11,91.9,996.1228,0.303,223.3,0.0,0.0
2024-01-01 15:50:00+00,27.11,92.2,995.8785,0.446,204.7,0.0,0.0
2024-01-01 16:00:00+00,27.11,92.7,995.8496,0.234,305.1,0.0,0.0
2024-01-01 16:10:00+00,27.07,93.1,995.7106,0.36,260.1,0.0,0.0
2024-01-01 16:20:00+00,26.96,93.4,995.4538,0.363,246.7,0.0,0.0
2024-01-01 16:30:00+00,26.92,93.8,995.427,0.11,275.5,0.0,0.0
2024-01-01 16:40:00+00,26.94,94.1,995.3074,0.114,316.4,0.0,0.2
2024-01-01 16:50:00+00,26.92,94.1,995.21,0.142,276.1,0.0,0.0
2024-01-01 17:00:00+00,26.86,94.5,995.1668,0.496,283.9,0.0,0.0
2024-01-01 17:10:00+00,26.87,94.7,995.1528,0.318,277.5,0.0,0.0
2024-01-01 17:20:00+00,26.88,94.8,995.075,0.48,284.9,0.0,0.0
2024-01-01 17:30:00+00,26.84,94.9,995.0516,0.429,269.4,0.0,0.0
