timestamp,tt,rh,pp,ws,wd,sr,rr
2024-12-24 20:50:00+00,23.46,84.9,960.7362,1.174,290.5,1.253,0.0
2024-12-24 21:00:00+00,23.28,85.7,960.7098,1.156,299.7,1.329,0.0
2024-12-24 21:10:00+00,23.18,86.1,960.7078,0.935,292.0,0.801,0.0
2024-12-24 21:20:00+00,23.1,86.4,960.7855,0.828,300.0,0.724,0.0
2024-12-24 21:30:00+00,23.06,86.5,960.8691,0.932,287.2,0.731,0.0
2024-12-24 21:40:00+00,23.13,86.1,960.8768,0.682,313.0,0.725,0.0
2024-12-24 21:50:00+00,23.14,85.8,960.955,0.505,305.1,0.766,0.0
2024-12-24 22:00:00+00,23.23,85.3,961.029,0.383,307.1,0.599,0.0
2024-12-24 22:10:00+00,23.14,86.7,961.1402,0.4,303.8,0.0,0.0
2024-12-24 22:20:00+00,22.97,88.2,961.3425,0.659,287.4,0.089,0.0
2024-12-24 22:30:00+00,22.81,88.9,961.5687,0.0,275.5,2.309,0.0
2024-12-24 22:40:00+00,22.72,89.3,961.6878,0.077,321.0,8.64,0.0
2024-12-24 22:50:00+00,22.82,89.7,961.8871,0.162,301.3,17.31,0.0
2024-12-24 23:00:00+00,22.88,89.6,962.0947,0.133,259.1,28.86,0.0
2024-12-24 23:10:00+00,23.04,89.0,962.2514,0.0,329.3,42.26,0.0
2024-12-24 23:20:00+00,23.23,88.9,962.4338,0.221,258.5,57.42,0.0
2024-12-24 23:30:00+00,23.42,88.8,962.6334,0.0,196.1,72.27,0.0
2024-12-24 23:40:00+00,23.62,88.5,962.7198,0.169,263.2,87.9,0.0
2024-12-24 23:50:00+00,23.84,88.5,962.7884,0.535,178.8,105.1,0.0
2024-12-25 00:00:00+00,24.09,87.7,962.8161,0.077,321.8,129.2,0.0
2024-12-25 00:10:00+00,24.52,85.5,962.851,0.186,276.1,158.7,0.0
2024-12-25 00:20:00+00,25.28,83.2,962.9188,0.238,248.9,198.2,0.0
2024-12-25 00:30:00+00,25.53,79.63,962.9899,0.492,248.2,241.1,0.0
2024-12-25 00:40:00+00,25.78,79.71,963.0265,0.442,250.0,279.4,0.0
2024-12-25 00:50:00+00,25.96,80.1,963.0681,0.639,233.8,308.0,0.0
2024-12-25 01:00:00+00,26.05,79.15,963.1332,0.573,261.8,335.3,0.0
2024-12-25 01:10:00+00,26.1,79.21,963.285,0.694,239.1,351.8,0.02025-10-17T07:38:34.142887,26.08,79.0,963.4318,0.888,214.8,378.6,0.0
2025-10-17T07:38:34.643947,26.15,78.7,963.4687,1.1,191.1,376.6,0.0
2025-10-17T07:38:35.145284,26.28,78.5,963.5406,1.085,187.5,402.9,0.0
