============================================================
ANOMALY DETECTION EVALUATION RESULTS
============================================================

Evaluation Date: 2025-10-27 06:19:37
Threshold: 0.6846

ADJUSTMENT STRATEGIES APPLIED:
------------------------------------------------------------
Segment Adjustment: Yes
Lag Tolerance: Yes (tolerance=20 timesteps)

DATASET STATISTICS:
------------------------------------------------------------
total_samples: 3896
true_anomalies: 392
predicted_anomalies: 486
original_true_anomalies: 190

CONFUSION MATRIX:
------------------------------------------------------------
TP: 372
TN: 3390
FP: 114
FN: 20

PERFORMANCE METRICS:
------------------------------------------------------------
accuracy: 0.9656
precision: 0.7654
recall: 0.9490
f1_score: 0.8474
specificity: 0.9675
mcc: 0.8343
roc_auc: 0.8554
pr_auc: 0.7007
kappa: 0.8282
detection_rate: 0.9490
false_positive_rate: 0.0325

FALSE POSITIVES (FP):
------------------------------------------------------------
Count: 114
Indices: [376, 573, 574, 575, 576, 621, 622, 623, 624, 626, 627, 628, 629, 630, 631, 632, 633, 634, 635, 636, 637, 638, 639, 640, 641, 642, 643, 644, 645, 1105, 1132, 1133, 1157, 1158, 1159, 1160, 1161, 1162, 1282, 1283, 1284, 1285, 1286, 1287, 1288, 1289, 1290, 1291, 1292, 1293, 1294, 1322, 1323, 1330, 1332, 1359, 1360, 1364, 1368, 1716, 1717, 1718, 1719, 1746, 1988, 1995, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2011, 2012, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2615, 2781, 2796, 3147, 3453, 3520, 3673, 3674, 3675, 3676, 3677, 3678, 3691, 3692, 3693, 3718, 3872, 3873, 3874, 3875, 3878, 3880, 3883, 3884, 3885, 3886]

Details (Index | Anomaly Score | Timestamp):
    2037 |     1.222824 | 2024-12-19 02:10:00+00
    2038 |     1.318431 | 2024-12-19 02:20:00+00
    2039 |     1.193061 | 2024-12-19 02:30:00+00
    2040 |     1.286438 | 2024-12-19 02:40:00+00
    2041 |     0.852923 | 2024-12-19 02:50:00+00
    2615 |     0.760949 | 2024-12-23 02:30:00+00
    2781 |     0.785223 | 2024-12-24 06:10:00+00
    2796 |     0.702942 | 2024-12-24 08:40:00+00
    3147 |     0.773805 | 2024-12-26 19:10:00+00
    3453 |     1.134477 | 2024-12-28 22:10:00+00
    3520 |     1.179499 | 2024-12-29 09:20:00+00
    3673 |     0.782208 | 2024-12-30 10:50:00+00
    3674 |     0.684853 | 2024-12-30 11:00:00+00
    3675 |     1.040812 | 2024-12-30 11:10:00+00
    3676 |     0.942947 | 2024-12-30 11:20:00+00
    3677 |     1.287904 | 2024-12-30 11:30:00+00
    3678 |     0.731421 | 2024-12-30 11:40:00+00
    3691 |     1.037189 | 2024-12-30 13:50:00+00
    3692 |     1.079315 | 2024-12-30 14:00:00+00
    3693 |     0.868309 | 2024-12-30 14:10:00+00
    3718 |     1.388184 | 2024-12-30 18:20:00+00
    3872 |     0.866258 | 2024-12-31 20:00:00+00
    3873 |     0.844708 | 2024-12-31 20:10:00+00
    3874 |     0.819100 | 2024-12-31 20:20:00+00
    3875 |     0.857992 | 2024-12-31 20:30:00+00
    3878 |     0.695926 | 2024-12-31 21:00:00+00
    3880 |     0.772150 | 2024-12-31 21:20:00+00
    3883 |     0.786548 | 2024-12-31 21:50:00+00
    3884 |     0.838257 | 2024-12-31 22:00:00+00
    3885 |     1.507968 | 2024-12-31 22:10:00+00
    3886 |     1.266438 | 2024-12-31 22:20:00+00

FALSE NEGATIVES (FN):
------------------------------------------------------------
Count: 20
Indices: [192, 236, 237, 238, 461, 462, 463, 1111, 1335, 1336, 1337, 1499, 1581, 2110, 2111, 2508, 2509, 2695, 2827, 2828]

Details (Index | Anomaly Score | Timestamp):
     192 |     0.118195 | 2024-12-06 06:10:00+00
     236 |     0.135947 | 2024-12-06 13:30:00+00
     237 |     0.077417 | 2024-12-06 13:40:00+00
     238 |     0.365584 | 2024-12-06 13:50:00+00
     461 |     0.186817 | 2024-12-08 03:00:00+00
     462 |     0.165827 | 2024-12-08 03:10:00+00
     463 |     0.047162 | 2024-12-08 03:20:00+00
    1111 |     0.352950 | 2024-12-12 15:50:00+00
    1335 |     0.546775 | 2024-12-14 05:10:00+00
    1336 |     0.620365 | 2024-12-14 05:20:00+00
    1337 |     0.571402 | 2024-12-14 05:30:00+00
    1499 |     0.170582 | 2024-12-15 08:30:00+00
    1581 |     0.424869 | 2024-12-15 22:10:00+00
    2110 |     0.267372 | 2024-12-19 14:20:00+00
    2111 |     0.249260 | 2024-12-19 14:30:00+00
    2508 |     0.456051 | 2024-12-22 08:40:00+00
    2509 |     0.424808 | 2024-12-22 08:50:00+00
    2695 |     0.413300 | 2024-12-23 15:50:00+00
    2827 |     0.188883 | 2024-12-24 13:50:00+00
    2828 |     0.474025 | 2024-12-24 14:00:00+00
