date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 12:10:00+00,19.48,96.3,848.5429,0.155,226.0,0.0,0.0
2024-01-01 12:20:00+00,19.4,96.3,848.4716,0.78,232.7,0.0,0.0
2024-01-01 12:30:00+00,19.3,96.5,848.7316,0.274,204.0,0.0,0.0
2024-01-01 12:40:00+00,19.33,96.6,848.9966,0.099,247.9,0.0,0.0
2024-01-01 12:50:00+00,19.3,96.6,849.0382,0.067,282.5,0.0,0.0
2024-01-01 13:00:00+00,19.3,96.6,848.9666,0.535,249.4,0.0,0.0
2024-01-01 13:10:00+00,19.25,96.5,848.8714,0.435,202.8,0.0,0.0
2024-01-01 13:20:00+00,19.21,96.6,849.0934,0.543,174.8,0.0,0.0
2024-01-01 13:30:00+00,19.24,96.6,849.1399,0.653,227.9,0.0,0.0
2024-01-01 13:40:00+00,19.21,96.8,849.2999,0.343,210.4,0.0,0.0
2024-01-01 13:50:00+00,19.3,96.9,849.36,0.736,192.9,0.0,0.0
2024-01-01 14:00:00+00,19.3,96.9,849.3466,0.59,189.8,0.0,0.0
2024-01-01 14:10:00+00,19.24,96.8,849.4,0.839,171.7,0.0,0.0
2024-01-01 14:20:00+00,19.26,96.9,849.4,0.559,128.2,0.0,0.0
2024-01-01 14:30:00+00,19.25,97.0,849.4983,0.284,142.4,0.0,0.0
2024-01-01 14:40:00+00,19.22,97.0,849.5,0.167,194.5,0.0,0.0
2024-01-01 14:50:00+00,19.2,97.0,849.425,0.401,146.1,0.0,0.0
2024-01-01 15:00:00+00,19.18,96.9,849.43,0.722,202.3,0.0,0.0
2024-01-01 15:10:00+00,19.15,97.1,849.4,0.778,157.7,0.0,0.0
2024-01-01 15:20:00+00,19.15,97.2,849.2533,0.972,164.0,0.0,0.0
2024-01-01 15:30:00+00,19.09,97.2,848.9617,0.635,240.6,0.0,0.0
2024-01-01 15:40:00+00,19.1,97.3,848.9,0.467,175.1,0.0,0.0
2024-01-01 15:50:00+00,19.1,97.3,848.8166,0.874,188.6,0.0,0.0
2024-01-01 16:00:00+00,19.03,97.2,848.8717,0.61,125.9,0.0,0.0
2024-01-01 16:10:00+00,19.0,97.2,849.0035,0.682,130.8,0.0,0.0
2024-01-01 16:20:00+00,18.97,97.2,848.9066,0.013,231.0,0.0,0.0
2024-01-01 16:30:00+00,18.92,97.1,849.0,0.376,166.0,0.0,0.0
2024-01-01 16:40:00+00,18.9,97.1,848.8899,0.736,113.9,0.0,0.0
2024-01-01 16:50:00+00,18.8,97.0,848.7966,0.913,157.4,0.0,0.0
2024-01-01 17:00:00+00,18.74,97.0,848.6983,0.347,130.4,0.0,0.0
2024-01-01 17:10:00+00,18.7,97.0,848.5393,0.233,111.0,0.0,0.0
2024-01-01 17:20:00+00,18.59,97.0,848.5499,0.543,107.3,0.0,0.0
2024-01-01 17:30:00+00,18.37,96.9,848.32,0.302,164.2,0.0,0.0
2024-01-01 17:40:00+00,18.15,96.7,848.285,0.0,122.8,0.0,0.0
2024-01-01 17:50:00+00,18.16,97.1,848.15,0.498,265.9,0.0,0.0
2024-01-01 18:00:00+00,18.0,97.1,848.2283,0.013,206.7,0.0,0.0
2024-01-01 18:10:00+00,17.9,97.2,848.2999,0.0,99.2,0.0,0.0
2024-01-01 18:20:00+00,17.55,97.0,848.3516,0.102,119.6,0.0,0.0
2024-01-01 18:30:00+00,17.7,97.3,848.2999,0.403,80.1,0.0,0.0
2024-01-01 18:40:00+00,17.72,97.5,848.2766,0.684,217.9,0.0,0.0
2024-01-01 18:50:00+00,17.24,97.1,848.0534,0.793,160.7,0.0,0.0
2024-01-01 19:00:00+00,17.04,97.1,847.8133,0.676,154.8,0.0,0.0
2024-01-01 19:10:00+00,16.99,97.1,847.6732,0.268,130.5,0.0,0.0
2024-01-01 19:20:00+00,16.85,97.1,847.5999,0.911,164.9,0.0,0.0
2024-01-01 19:30:00+00,16.78,97.2,847.5183,0.88,195.7,0.0,0.0
2024-01-01 19:40:00+00,16.62,97.2,847.4,0.35,135.1,0.0,0.0
2024-01-01 19:50:00+00,16.48,97.2,847.4,1.054,163.2,0.0,0.0
2024-01-01 20:00:00+00,16.42,97.3,847.4883,1.022,146.9,0.0,0.0
2024-01-01 20:10:00+00,16.23,97.4,847.5683,0.759,130.2,0.0,0.0
2024-01-01 20:20:00+00,16.1,97.4,847.6299,0.943,135.1,0.0,0.0
2024-01-01 20:30:00+00,16.08,97.5,847.5999,1.126,149.6,0.0,0.0
2024-01-01 20:40:00+00,15.96,97.4,847.5999,0.438,145.8,0.0,0.0
