date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 12:00:00+00,24.4,85.6,923.2581,0.239,111.4,0.0,0.0
2024-01-01 12:10:00+00,24.5,85.7,923.2166,0.484,80.1,0.0,0.0
2024-01-01 12:20:00+00,24.55,85.2,923.5541,0.454,202.2,0.0,0.0
2024-01-01 12:30:00+00,24.33,83.6,923.7887,0.1,232.1,0.0,0.0
2024-01-01 12:40:00+00,24.33,83.6,923.9582,0.348,240.6,0.0,0.0
2024-01-01 12:50:00+00,24.29,82.9,923.9577,0.263,211.3,0.0,0.0
2024-01-01 13:00:00+00,24.45,82.1,923.8274,0.358,226.8,0.0,0.0
2024-01-01 13:10:00+00,24.51,82.0,923.8535,0.266,261.3,0.0,0.0
2024-01-01 13:20:00+00,24.5,81.7,923.8186,0.332,275.4,0.0,0.0
2024-01-01 13:30:00+00,24.53,81.9,923.9062,0.878,258.2,0.0,0.0
2024-01-01 13:40:00+00,24.36,82.6,924.1857,1.187,264.9,0.0,0.0
2024-01-01 13:50:00+00,24.24,84.1,924.3857,0.593,242.7,0.0,0.0
2024-01-01 14:00:00+00,24.2,85.4,924.5134,0.764,256.7,0.0,0.0
2024-01-01 14:10:00+00,23.98,86.6,924.5852,0.839,247.3,0.0,0.0
2024-01-01 14:20:00+00,23.81,85.8,924.567,0.551,245.8,0.0,0.0
2024-01-01 14:30:00+00,23.77,85.2,924.6014,0.795,251.6,0.0,0.0
2024-01-01 14:40:00+00,23.78,85.1,924.3351,0.659,272.8,0.0,0.0
2024-01-01 14:50:00+00,23.72,84.9,924.374,0.268,256.2,0.0,0.0
2024-01-01 15:00:00+00,23.74,84.7,924.3983,0.389,252.5,0.0,0.0
2024-01-01 15:10:00+00,23.79,84.3,924.217,0.488,267.3,0.0,0.0
2024-01-01 15:20:00+00,23.75,84.2,924.0034,0.286,218.9,0.0,0.0
2024-01-01 15:30:00+00,23.79,84.2,923.8365,0.183,259.5,0.0,0.0
2024-01-01 15:40:00+00,23.85,83.6,923.897,0.461,246.3,0.0,0.0
2024-01-01 15:50:00+00,23.91,83.6,923.989,0.197,250.0,0.0,0.0
2024-01-01 16:00:00+00,23.96,83.6,924.0657,0.575,261.0,0.0,0.0
2024-01-01 16:10:00+00,23.97,83.8,923.9504,0.406,253.2,0.0,0.0
2024-01-01 16:20:00+00,23.91,83.9,923.8434,0.165,250.1,0.0,0.0
2024-01-01 16:30:00+00,23.86,84.1,923.8487,0.321,208.3,0.0,0.0
2024-01-01 16:40:00+00,23.84,84.2,923.806,0.203,148.5,0.0,0.0
2024-01-01 16:50:00+00,23.82,84.8,923.7543,0.485,90.3,0.0,0.0
2024-01-01 17:00:00+00,23.78,86.6,923.8289,0.528,113.5,0.0,0.0
2024-01-01 17:10:00+00,23.58,88.2,923.7334,0.74,109.5,0.0,0.0
2024-01-01 17:20:00+00,23.4,89.7,923.6295,0.361,125.7,0.0,0.0
2024-01-01 17:30:00+00,23.16,90.9,923.5537,0.455,81.1,0.0,0.0
2024-01-01 17:40:00+00,23.05,91.5,923.4388,0.469,69.69,0.0,0.2
2024-01-01 17:50:00+00,22.98,91.9,923.376,0.415,100.7,0.0,0.0
2024-01-01 18:00:00+00,22.99,92.1,923.2602,0.143,171.4,0.0,0.0
2024-01-01 18:10:00+00,23.0,92.1,923.2944,0.074,185.2,0.0,0.0
2024-01-01 18:20:00+00,23.0,92.2,923.349,0.264,166.3,0.0,0.0
2024-01-01 18:30:00+00,22.96,92.3,923.2046,0.089,215.0,0.0,0.0
2024-01-01 18:40:00+00,22.99,92.5,923.0494,0.226,162.7,0.0,0.0
2024-01-01 18:50:00+00,22.9,92.7,923.0102,0.911,133.9,0.506,0.0
2024-01-01 19:00:00+00,22.74,92.9,922.9206,0.653,115.5,0.838,0.2
2024-01-01 19:10:00+00,22.6,93.1,922.7927,0.632,95.2,0.964,0.0
2024-01-01 19:20:00+00,22.57,93.2,922.7168,0.548,98.8,0.704,0.0
2024-01-01 19:30:00+00,22.47,93.0,922.7446,0.772,91.3,1.144,0.0
2024-01-01 19:40:00+00,22.46,92.9,922.6526,0.481,98.6,0.785,0.0
2024-01-01 19:50:00+00,22.49,92.8,922.4806,0.253,113.8,0.208,0.0
2024-01-01 20:00:00+00,22.43,92.7,922.3822,0.394,123.0,0.0,0.0
2024-01-01 20:10:00+00,22.36,92.7,922.3073,0.467,77.38,0.0,0.0
2024-01-01 20:20:00+00,22.33,92.8,922.3803,0.327,122.8,0.0,0.0
2024-01-01 20:30:00+00,22.34,92.9,922.503,0.286,96.6,0.0,0.0
2024-01-01 20:40:00+00,22.32,93.0,922.5934,0.145,101.6,0.0,0.2
2024-01-01 20:50:00+00,22.34,93.0,922.6049,0.453,89.3,0.0,0.0
2024-01-01 21:00:00+00,22.32,92.8,922.6058,0.586,88.4,0.0,0.0
2024-01-01 21:10:00+00,22.25,92.6,922.5516,0.029,170.3,0.0,0.0
2024-01-01 21:20:00+00,22.25,92.4,922.5024,0.085,200.4,0.0,0.0
2024-01-01 21:30:00+00,22.2,92.2,922.5417,0.04,120.8,0.0,0.0
2024-01-01 21:40:00+00,22.13,92.1,922.6526,0.105,82.3,0.0,0.0
2024-01-01 21:50:00+00,22.1,92.2,922.7382,0.0,168.1,0.0,0.0
2024-01-01 22:00:00+00,22.04,92.4,922.7635,0.0,136.7,0.0,0.0
2024-01-01 22:10:00+00,22.04,92.5,922.8489,0.003,155.6,0.0,0.0
2024-01-01 22:20:00+00,21.96,92.3,922.9229,0.073,111.1,0.0,0.0
2024-01-01 22:30:00+00,21.95,92.3,922.9804,0.005,269.0,0.0,0.0
2024-01-01 22:40:00+00,21.87,92.3,923.0254,0.095,260.3,0.186,0.2
2024-01-01 22:50:00+00,21.95,92.6,922.9729,0.149,208.5,3.07,0.0
2024-01-01 23:00:00+00,21.97,92.4,923.0437,0.382,82.2,11.39,0.0
2024-01-01 23:10:00+00,22.02,92.0,923.3076,0.28,108.9,22.2,0.0
2024-01-01 23:20:00+00,22.06,91.8,923.4845,0.35,125.9,32.76,0.0
2024-01-01 23:30:00+00,22.03,91.4,923.4873,0.494,79.8,45.98,0.0
2024-01-01 23:40:00+00,22.19,91.5,923.517,0.361,91.2,57.5,0.0
2024-01-01 23:50:00+00,22.32,91.3,923.656,0.311,97.1,72.47,0.0
2024-01-02 00:00:00+00,22.44,91.4,923.7645,0.314,93.8,78.99,0.0
2024-01-02 00:10:00+00,22.55,91.5,923.7904,0.164,214.9,92.6,0.0
2024-01-02 00:20:00+00,22.78,91.4,923.7979,0.085,258.1,117.8,0.0
2024-01-02 00:30:00+00,22.89,90.7,923.9425,0.31,125.8,157.5,0.0
2024-01-02 00:40:00+00,23.02,89.7,923.931,0.22,87.2,182.9,0.2
2024-01-02 00:50:00+00,23.23,88.2,924.0518,0.477,104.2,195.0,0.0
2024-01-02 01:00:00+00,23.55,87.5,924.1868,0.64,99.2,202.2,0.0
2024-01-02 01:10:00+00,23.74,87.1,924.2475,1.055,95.6,215.5,0.0
2024-01-02 01:20:00+00,23.75,86.5,924.2976,1.286,102.5,229.7,0.0
2024-01-02 01:30:00+00,23.82,87.0,924.3546,1.186,114.9,231.3,0.0
2024-01-02 01:40:00+00,24.05,86.9,924.3838,1.065,106.7,232.3,0.0
2024-01-02 01:50:00+00,24.17,86.3,924.2862,0.98,109.6,260.2,0.0
2024-01-02 02:00:00+00,24.52,85.0,924.248,0.675,110.4,283.6,0.0
2024-01-02 02:10:00+00,24.84,82.7,924.1375,0.837,127.2,332.3,0.0
