date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 12:00:00+00,29.07,83.8,1002.16,1.073,232.6,0.0,0.0
2024-01-01 12:10:00+00,29.1,84.5,1002.2,1.008,251.0,0.0,0.0
2024-01-01 12:20:00+00,28.95,83.9,1002.42,1.416,235.3,0.0,0.0
2024-01-01 12:30:00+00,28.73,84.1,1002.755,1.361,240.7,0.0,0.0
2024-01-01 12:40:00+00,28.66,84.6,1002.9,0.989,241.5,0.0,0.0
2024-01-01 12:50:00+00,28.58,85.4,1002.995,1.043,244.5,0.0,0.0
2024-01-01 13:00:00+00,28.47,87.2,1003.225,1.164,205.5,0.0,0.0
2024-01-01 13:10:00+00,27.81,90.5,1003.47,1.343,229.9,0.0,2.0
2024-01-01 13:20:00+00,27.28,92.7,1003.695,0.762,170.5,0.0,4.6
2024-01-01 13:30:00+00,26.94,94.9,1003.9,0.45,127.0,0.0,5.2
2024-01-01 13:40:00+00,26.81,95.8,1004.135,0.256,95.5,0.0,2.2
2024-01-01 13:50:00+00,26.71,96.0,1004.26,0.454,177.9,0.0,3.2
2024-01-01 14:00:00+00,26.28,95.2,1003.945,1.156,279.6,0.0,0.8
2024-01-01 14:10:00+00,25.84,94.3,1003.795,0.829,269.8,0.0,0.0
2024-01-01 14:20:00+00,25.66,95.1,1003.68,0.812,227.8,0.0,0.0
2024-01-01 14:30:00+00,25.53,95.2,1003.395,0.981,226.4,0.0,0.0
2024-01-01 14:40:00+00,25.52,94.4,1003.09,1.364,223.0,0.069,0.0
2024-01-01 14:50:00+00,25.59,92.8,1003.13,1.202,206.7,0.506,0.0
2024-01-01 15:00:00+00,25.69,92.4,1003.2,0.706,232.5,0.229,0.0
2024-01-01 15:10:00+00,25.64,93.3,1003.15,0.731,226.2,0.0,0.0
2024-01-01 15:20:00+00,25.54,94.0,1003.005,0.546,203.8,0.0,0.0
2024-01-01 15:30:00+00,25.5,94.1,1002.75,1.153,241.8,0.0,0.0
2024-01-01 15:40:00+00,25.57,93.6,1002.6,1.039,245.7,0.0,0.0
2024-01-01 15:50:00+00,25.69,93.6,1002.6,0.483,198.2,0.0,0.0
2024-01-01 16:00:00+00,25.65,94.1,1002.605,0.576,227.5,0.0,0.0
2024-01-01 16:10:00+00,25.63,94.3,1002.655,0.689,242.7,0.0,0.0
2024-01-01 16:20:00+00,25.61,94.5,1002.6,0.625,243.4,0.0,0.0
2024-01-01 16:30:00+00,25.57,94.6,1002.575,0.641,249.0,0.0,0.0
2024-01-01 16:40:00+00,25.52,94.7,1002.455,0.467,253.2,0.0,0.0
2024-01-01 16:50:00+00,25.49,94.8,1002.35,0.079,260.0,0.0,0.0
2024-01-01 17:00:00+00,25.49,95.3,1002.225,0.474,262.8,0.0,0.0
2024-01-01 17:10:00+00,25.54,95.6,1002.2,0.189,270.9,0.0,0.0
2024-01-01 17:20:00+00,25.67,96.1,1002.185,0.082,252.4,0.0,0.0
2024-01-01 17:30:00+00,25.7,96.2,1002.055,0.214,197.6,0.0,0.0
2024-01-01 17:40:00+00,25.68,96.1,1002.0,0.118,287.5,0.0,0.0
2024-01-01 17:50:00+00,25.77,96.3,1002.0,0.587,327.5,0.0,0.0
2024-01-01 18:00:00+00,25.75,96.4,1002.095,0.66,266.8,0.0,0.0
2024-01-01 18:10:00+00,25.81,96.4,1002.1,0.086,184.5,0.0,0.0
2024-01-01 18:20:00+00,25.8,96.4,1001.935,0.416,297.2,0.0,0.0
2024-01-01 18:30:00+00,25.79,96.3,1001.655,0.442,272.3,0.0,0.0
2024-01-01 18:40:00+00,25.78,96.2,1001.555,0.104,123.5,0.0,0.0
2024-01-01 18:50:00+00,25.73,96.2,1001.445,0.22,64.11,0.0,0.0
2024-01-01 19:00:00+00,25.65,96.2,1001.435,0.273,79.18,0.0,0.0
2024-01-01 19:10:00+00,25.59,96.3,1001.325,0.133,56.14,0.0,0.0
2024-01-01 19:20:00+00,25.5,96.4,1001.155,0.172,168.7,0.0,0.0
2024-01-01 19:30:00+00,25.51,96.6,1001.04,0.115,254.4,0.0,0.0
2024-01-01 19:40:00+00,25.44,96.6,1001.0,0.024,201.7,0.0,0.0
2024-01-01 19:50:00+00,25.37,96.7,1001.07,0.016,106.3,0.0,0.0
2024-01-01 20:00:00+00,25.38,96.8,1001.1,0.383,109.5,0.0,0.0
2024-01-01 20:10:00+00,25.31,96.8,1001.18,0.115,70.52,0.0,0.0
2024-01-01 20:20:00+00,25.27,96.9,1001.1,0.067,111.6,0.0,0.0
2024-01-01 20:30:00+00,25.22,96.9,1001.025,0.126,210.6,0.0,0.0
2024-01-01 20:40:00+00,25.15,96.9,1000.94,0.242,182.7,0.0,0.0
2024-01-01 20:50:00+00,25.14,96.9,1001.01,0.126,209.4,0.0,0.0
2024-01-01 21:00:00+00,25.15,97.0,1001.185,0.356,250.4,0.0,0.0
2024-01-01 21:10:00+00,25.21,97.1,1001.3,0.479,207.7,0.0,0.0
2024-01-01 21:20:00+00,25.15,97.0,1001.275,0.322,193.8,0.0,0.0
2024-01-01 21:30:00+00,25.05,96.9,1001.275,0.435,174.3,0.0,0.0
2024-01-01 21:40:00+00,25.03,96.9,1001.38,0.378,208.8,0.0,0.0
