threshold,accuracy,precision,recall,f1_score,specificity,detection_rate,false_positive_rate,tp,tn,fp,fn,n_predictions,n_true_anomalies
0.6,0.9250513347022588,0.5265866209262435,0.9504643962848297,0.6777041942604857,0.9227539882451721,0.9504643962848297,0.07724601175482787,307,3297,276,16,583,323
0.7,0.9448151950718686,0.5833333333333334,0.931740614334471,0.7174770039421814,0.9458784346378019,0.931740614334471,0.05412156536219817,273,3408,195,20,468,293
0.8,0.9599589322381931,0.6473829201101928,0.8935361216730038,0.7507987220447284,0.964767409854115,0.8935361216730038,0.035232590145884944,235,3505,128,28,363,263
0.9,0.9715092402464066,0.7251655629139073,0.8866396761133604,0.7978142076502732,0.9772540422033433,0.8866396761133604,0.02274595779665662,219,3566,83,28,302,247
1.0,0.9792094455852156,0.7976653696498055,0.8760683760683761,0.835030549898167,0.985800109229929,0.8760683760683761,0.014199890770071,205,3610,52,29,257,234
